date,time,code,FORCE_POS_1,FORCE_POS_2
2025-01-11,10:22:19,302693.07/250111-102158,53.5,76.8
2025-01-11,10:22:24,302693.07/250111-102207,53.2,76.7
2025-01-11,10:30:45,302693.07/250111-103028,54.3,77.5
2025-01-11,10:31:03,302693.07/250111-103043,53.1,76.9
2025-01-11,10:32:04,302693.07/250111-103145,53.2,76.6
2025-01-11,10:36:04,302693.07/250111-103545,52.8,76.6
2025-01-11,10:38:54,302693.07/250111-103837,54.1,77.5
2025-01-11,11:10:41,302693.07/250111-111011,53.2,76.7
2025-01-11,11:11:58,302693.07/250111-111127,47.8,71.0
2025-01-11,11:12:57,302693.07/250111-111127,53.6,76.7
2025-01-11,11:25:02,302693.07/250111-112449,46.5,70.1
2025-01-11,11:28:49,302693.07/250111-112831,52.8,76.8
2025-01-11,11:35:20,302693.07/250111-113502,54.0,77.0
2025-01-11,11:35:29,302693.07/250111-113508,53.5,77.2
2025-01-11,11:45:30,302693.07/250111-114346,53.6,76.9
2025-01-11,11:45:35,302693.07/250111-114355,53.4,76.8
2025-01-11,11:47:48,302693.07/250111-114728,52.8,76.7
2025-01-11,11:50:42,302693.07/250111-115023,52.8,76.7
2025-01-11,11:53:28,302693.07/250111-115310,53.1,76.6
2025-01-11,11:56:49,302693.07/250111-115636,53.5,77.1
2025-01-11,11:59:16,302693.07/250111-115847,53.7,76.7
2025-01-11,12:00:11,302693.07/250111-115952,53.0,76.8
2025-01-11,12:01:24,302693.07/250111-120105,53.5,76.9
2025-01-11,12:02:49,302693.07/250111-120227,53.5,76.7
2025-01-11,12:04:41,302693.07/250111-120425,53.5,76.7
2025-01-11,12:07:17,302693.07/250111-120658,53.7,77.1
2025-01-11,12:13:02,302693.07/250111-121238,53.5,76.8
2025-01-11,12:17:44,302693.07/250111-121726,53.7,76.8
2025-01-11,12:30:30,302693.07/250111-123009,46.3,69.4
2025-01-11,12:32:05,302693.07/250111-123140,53.2,76.6
2025-01-11,12:43:30,302693.07/250111-124313,53.7,76.9
2025-01-11,12:44:16,302693.07/250111-124356,53.4,76.8
2025-01-11,12:44:21,302693.07/250111-124401,53.0,76.7
2025-01-11,13:20:26,302693.07/250111-131851,47.6,69.9
2025-01-11,13:23:14,302693.07/250111-132154,46.1,68.3
2025-01-11,13:30:41,302693.07/250111-133027,47.9,70.5
2025-01-11,13:37:25,302693.07/250111-133705,47.8,70.2
2025-01-11,13:57:16,302693.07/250111-135654,54.1,76.7
2025-01-11,14:06:13,302693.07/250111-140519,47.8,70.4
2025-01-11,14:11:51,302693.07/250111-141055,47.3,69.7
2025-01-11,14:24:40,302693.07/250111-142422,48.0,70.9
2025-01-11,14:26:53,302693.07/250111-142519,47.8,70.3
2025-01-11,14:28:35,302693.07/250111-142753,48.6,71.1
2025-01-11,14:44:38,302693.07/250111-144423,47.8,0.0
2025-01-11,14:46:20,302693.07/250111-144602,47.4,70.0
2025-01-11,14:47:40,302693.07/250111-144602,48.5,71.2
2025-01-11,14:49:24,302693.07/250111-144910,48.4,70.7
2025-01-11,14:52:41,302693.07/250111-145229,48.0,70.4
2025-01-11,14:58:42,302693.07/250111-145645,47.5,70.2
2025-01-11,15:46:23,302693.07/250111-154415,53.8,76.7
2025-01-11,15:46:28,302693.07/250111-154538,0.1,0.0
2025-01-11,15:54:28,302693.07/250111-155404,53.9,77.0
2025-01-11,16:23:08,302693.07/250111-162253,54.3,77.1
2025-01-11,16:27:07,302693.07/250111-162652,54.3,77.2
2025-01-11,16:29:05,302693.07/250111-162841,54.0,76.7
2025-01-11,16:30:17,302693.07/250111-163002,54.3,76.9
2025-01-11,16:30:56,302693.07/250111-163029,53.8,76.6
2025-01-11,16:31:29,302693.07/250111-163110,53.7,76.7
2025-01-11,16:35:48,302693.07/250111-163521,53.7,76.6
2025-01-11,16:36:03,302693.07/250111-163549,53.9,76.6
2025-01-11,16:36:45,302693.07/250111-163602,54.5,77.0
2025-01-11,16:39:07,302693.07/250111-163854,54.3,76.8
2025-01-11,16:44:18,302693.07/250111-164348,54.6,76.9
2025-01-11,16:45:14,302693.07/250111-164456,54.9,77.1
2025-01-11,16:45:44,302693.07/250111-164528,54.3,77.0
2025-01-11,16:45:49,302693.07/250111-164533,48.9,71.3
2025-01-11,16:48:09,302693.07/250111-164751,54.1,76.7
2025-01-11,16:48:44,302693.07/250111-164831,54.3,77.0
2025-01-11,16:49:32,302693.07/250111-164914,48.8,71.3
2025-01-11,16:51:37,302693.07/250111-165116,54.1,76.7
2025-01-11,16:59:36,302693.07/250111-165922,53.6,76.9
2025-01-11,17:01:24,302693.07/250111-170110,53.9,76.8
2025-01-11,17:01:48,302693.07/250111-170134,54.1,76.9
2025-01-11,17:04:59,302693.07/250111-170440,55.2,77.6
2025-01-11,17:05:51,302693.07/250111-170529,53.4,76.6
2025-01-11,17:23:17,302693.07/250111-172300,48.9,71.1
2025-01-11,17:29:56,302693.07/250111-172828,48.9,70.3
2025-01-11,17:35:39,302693.07/250111-173518,53.4,76.7
2025-01-11,17:39:30,302693.07/250111-173848,53.7,76.7
2025-01-11,17:42:49,302693.07/250111-174223,53.4,76.6
2025-01-11,17:45:35,302693.07/250111-174521,53.7,76.9
2025-01-11,17:45:53,302693.07/250111-174538,53.5,76.7
2025-01-11,17:46:57,302693.07/250111-174638,53.1,76.6
2025-01-11,17:53:55,302693.07/250111-175333,53.6,76.7
2025-01-11,18:18:55,302693.07/250111-181841,53.6,76.8
2025-01-11,19:15:50,302693.07/250111-191533,47.2,70.3
2025-01-11,19:34:44,302693.07/250111-193432,53.8,76.8
2025-01-11,19:52:44,302693.07/250111-195226,53.4,76.6
2025-01-11,20:57:16,302693.07/250111-205705,53.5,76.8
2025-01-11,21:31:23,302693.07/250111-213107,53.4,76.9
2025-01-11,21:31:30,302693.07/250111-213110,53.4,76.8
2025-01-11,21:32:14,302693.07/250111-213158,53.7,76.7
2025-01-11,21:32:24,302693.07/250111-213205,53.5,76.6
2025-01-11,22:14:04,302693.07/250111-221349,53.6,76.7
2025-01-11,22:18:56,302693.07/250111-221834,53.4,76.6
2025-01-11,22:19:03,302693.07/250111-221842,53.4,76.7
2025-01-11,22:24:16,302693.07/250111-222357,0.1,0.0
2025-01-13,00:25:23,302693.07/250112-002436,52.7,76.6
2025-01-13,00:26:03,302693.07/250112-002541,52.5,76.6
2025-01-13,00:26:08,302693.07/250112-002548,52.8,76.7
2025-01-13,00:26:33,302693.07/250112-002608,53.6,77.5
2025-01-13,00:26:38,302693.07/250112-002612,52.9,76.9
2025-01-13,00:26:53,302693.07/250112-002635,52.6,76.7
2025-01-13,00:27:13,302693.07/250112-002647,53.4,77.3
2025-01-13,00:27:40,302693.07/250112-002709,54.3,78.3
2025-01-13,00:28:29,302693.07/250112-002757,52.5,76.8
2025-01-13,00:28:34,302693.07/250112-002801,52.4,76.6
2025-01-13,00:28:51,302693.07/250112-002816,52.8,76.9
2025-01-13,00:28:55,302693.07/250112-002831,52.5,76.7
2025-01-13,00:32:35,302693.07/250112-003214,53.4,77.1
2025-01-13,00:33:26,302693.07/250112-003306,53.4,76.7
2025-01-13,00:33:47,302693.07/250112-003325,53.9,77.0
2025-01-13,00:56:28,302693.07/250112-005546,54.8,76.6
2025-01-13,00:57:26,302693.07/250112-005704,55.3,76.3
2025-01-13,01:00:57,302693.07/250112-010020,55.0,76.9
2025-01-13,01:03:06,302693.07/250112-010246,54.6,76.6
2025-01-13,01:07:34,302693.07/250112-010304,49.5,70.9
2025-01-13,01:21:03,302693.07/250112-012039,55.1,76.8
2025-01-13,01:35:40,302693.07/250112-013516,47.3,68.8
2025-01-13,01:56:10,302693.07/250112-015534,0.1,0.0
2025-01-13,03:31:39,302693.07/250112-033051,47.2,0.1
2025-01-13,04:04:35,302693.07/250112-040040,48.8,70.4
2025-01-13,04:27:01,302693.07/250112-042638,48.0,0.0
2025-01-13,04:31:40,302693.07/250112-043116,49.4,71.1
2025-01-13,04:51:04,302693.07/250112-045039,0.2,0.0
2025-01-13,04:55:32,302693.07/250112-045443,49.2,70.7
2025-01-13,05:55:10,302693.07/250112-055147,49.4,70.4
2025-01-13,06:22:06,302693.07/250113-062129,47.3,68.9
2025-01-13,06:59:08,302693.07/250113-065841,55.2,75.8
2025-01-13,07:36:00,302693.07/250113-073531,48.8,69.8
2025-01-13,09:07:04,302693.07/250113-090600,47.3,69.1
2025-01-13,09:09:05,302693.07/250113-090831,0.1,0.0
2025-01-13,09:31:49,302693.07/250113-093111,48.1,69.4
2025-01-13,11:04:47,302693.07/250113-110423,50.3,71.2
2025-01-13,11:07:32,302693.07/250113-110709,50.0,71.3
2025-01-13,11:11:15,302693.07/250113-111046,47.9,69.5
2025-01-13,12:09:55,302693.07/250113-120930,50.0,71.3
2025-01-13,12:44:03,302693.07/250113-124330,49.7,71.1
2025-01-13,13:52:10,302693.07/250113-135141,49.6,71.2
2025-01-13,14:09:43,302693.07/250113-140923,49.8,71.4
2025-01-13,14:28:24,302693.07/250113-142757,50.0,71.4
2025-01-13,14:30:16,302693.07/250113-142944,49.9,71.4
2025-01-13,14:35:20,302693.07/250113-143433,48.9,70.6
2025-01-13,14:36:01,302693.07/250113-143453,49.8,71.1
2025-01-13,14:39:00,302693.07/250113-143835,49.6,71.4
2025-01-13,14:40:08,302693.07/250113-143921,49.6,71.2
2025-01-13,14:45:47,302693.07/250113-144509,46.2,67.8
2025-01-13,15:31:28,302693.07/250113-153101,0.1,0.0
2025-01-13,15:33:51,302693.07/250113-153321,50.5,71.1
2025-01-13,15:34:06,302693.07/250113-153340,50.4,70.8
2025-01-13,15:34:11,302693.07/250113-153346,50.4,70.8
2025-01-13,15:34:21,302693.07/250113-153357,50.1,70.7
2025-01-13,15:54:11,302693.07/250113-155345,50.5,71.4
2025-01-13,15:54:33,302693.07/250113-155354,50.4,71.1
2025-01-13,16:22:21,302693.07/250113-162148,46.2,68.7
2025-01-13,16:24:18,302693.07/250113-162322,45.6,68.4
2025-01-13,16:26:10,302693.07/250113-162530,45.7,68.3
2025-01-13,17:13:11,302693.07/250113-171250,47.3,69.8
2025-01-13,17:13:34,302693.07/250113-171255,44.8,67.5
2025-01-13,17:19:36,302693.07/250113-171906,47.8,71.2
2025-01-13,17:28:15,302693.07/250113-172753,49.2,71.4
2025-01-13,17:28:42,302693.07/250113-172808,45.9,68.3
2025-01-13,17:35:35,302693.07/250113-173442,49.1,71.4
2025-01-13,18:04:40,302693.07/250113-180412,53.2,76.9
2025-01-13,18:12:02,302693.07/250113-181138,52.9,76.6
2025-01-13,18:13:35,302693.07/250113-181305,54.0,77.8
2025-01-13,18:38:18,302693.07/250113-183712,47.7,70.0
2025-01-13,19:10:39,302693.07/250113-191017,0.3,0.0
2025-01-13,19:53:44,302693.07/250113-195302,45.7,68.4
2025-01-13,20:01:18,302693.07/250113-200046,46.3,68.9
2025-01-13,20:12:09,302693.07/250113-201125,44.9,67.6
2025-01-13,20:15:15,302693.07/250113-201439,0.1,0.0
2025-01-13,20:17:55,302693.07/250113-201658,54.2,77.2
2025-01-13,21:00:27,302693.07/250113-210003,49.0,71.3
2025-01-13,22:23:33,302693.07/250113-222310,0.2,0.0
2025-01-13,22:51:44,302693.07/250113-225114,54.2,77.1
2025-01-13,22:53:05,302693.07/250113-225235,48.7,71.2
2025-01-13,22:56:55,302693.07/250113-225634,0.6,0.0
2025-01-13,23:34:43,302693.07/250113-233416,0.2,0.0
2025-01-14,00:32:32,302693.07/250113-003209,0.1,0.0
2025-01-14,00:47:40,302693.07/250113-004648,49.0,71.4
2025-01-14,00:52:22,302693.07/250113-005157,0.1,0.0
2025-01-14,00:56:44,302693.07/250113-005532,49.4,71.4
2025-01-14,00:57:44,302693.07/250113-005719,46.7,69.1
2025-01-14,00:58:59,302693.07/250113-005757,46.7,68.5
2025-01-14,01:00:58,302693.07/250113-010030,45.5,68.0
2025-01-14,01:28:17,302693.07/250113-012756,48.4,70.8
2025-01-14,01:32:58,302693.07/250113-013225,48.2,70.5
2025-01-14,01:35:48,302693.07/250113-013525,42.8,65.1
2025-01-14,02:05:41,302693.07/250113-020520,0.3,0.0
2025-01-14,02:14:32,302693.07/250113-020921,0.1,0.0
2025-01-14,02:34:46,302693.07/250113-023045,46.1,68.9
2025-01-14,02:54:01,302693.07/250113-025340,0.3,0.0
2025-01-14,02:54:34,302693.07/250113-025405,46.2,68.8
2025-01-14,03:40:31,302693.07/250113-034002,0.2,0.0
2025-01-14,03:40:51,302693.07/250113-034021,47.1,69.4
2025-01-14,03:49:04,302693.07/250113-034846,45.7,68.6
2025-01-14,03:51:25,302693.07/250113-035100,0.2,0.0
2025-01-14,04:08:13,302693.07/250113-040752,45.7,68.5
2025-01-14,04:12:12,302693.07/250113-041151,45.5,20.6
2025-01-14,04:14:08,302693.07/250113-041307,46.0,68.7
2025-01-14,04:18:31,302693.07/250113-041801,46.4,69.1
2025-01-14,04:20:51,302693.07/250113-042019,46.1,68.6
2025-01-14,04:21:16,302693.07/250113-042056,0.1,0.0
2025-01-14,04:38:14,302693.07/250113-043752,47.5,70.1
2025-01-14,04:39:06,302693.07/250113-043832,45.5,68.3
2025-01-14,04:40:13,302693.07/250113-043852,44.9,0.0
2025-01-14,04:43:25,302693.07/250113-044301,46.6,68.9
2025-01-14,04:51:27,302693.07/250113-045106,49.0,71.4
2025-01-14,05:00:48,302693.07/250113-045958,46.2,70.0
2025-01-14,05:02:55,302693.07/250113-050229,45.6,68.1
2025-01-17,08:06:22,302693.07/250117-080355,45.9,66.5
2025-01-17,08:07:17,302693.07/250117-080455,44.4,65.2
2025-01-17,08:08:04,302693.07/250117-080503,44.6,65.3
2025-01-17,08:10:05,302693.07/250117-080510,45.2,66.1
2025-01-17,08:11:51,302693.07/250117-080555,48.2,76.9
2025-01-17,08:24:37,302693.07/250117-082412,45.6,71.4
2025-01-17,08:25:18,302693.07/250117-082455,0.2,0.0
2025-01-17,08:58:44,302693.07/250117-085822,0.1,0.0
2025-01-17,09:02:55,302693.07/250117-090239,0.3,0.0
2025-01-17,09:06:15,302693.07/250117-090545,0.1,0.0
2025-01-17,09:25:08,302693.07/250117-092354,45.0,71.0
2025-01-17,09:34:50,302693.07/250117-093427,0.2,0.0
2025-01-17,09:44:15,302693.07/250117-094359,45.2,71.1
2025-01-17,09:55:58,302693.07/250117-095534,0.2,0.0
2025-01-17,09:56:08,302693.07/250117-095546,45.0,71.0
2025-01-17,09:56:18,302693.07/250117-095557,0.2,0.0
2025-01-17,10:24:54,302693.07/250117-102400,0.1,0.0
2025-01-17,11:03:10,302693.07/250117-110247,44.1,69.6
2025-01-17,11:07:55,302693.07/250117-110648,0.1,0.0
2025-01-17,11:09:36,302693.07/250117-110807,0.2,0.0
2025-01-17,11:10:00,302693.07/250117-110938,0.1,0.0
2025-01-17,11:11:50,302693.07/250117-110938,0.0,0.0
2025-01-17,11:22:15,302693.07/250117-112152,0.1,0.0
2025-01-17,11:23:52,302693.07/250117-112325,0.2,0.1
2025-01-17,11:27:02,302693.07/250117-112647,0.1,0.0
2025-01-17,11:42:43,302693.07/250117-114228,0.2,0.0
2025-01-17,11:47:07,302693.07/250117-114648,0.2,0.0
2025-01-17,12:00:25,302693.07/250117-120000,0.2,0.0
2025-01-17,12:08:32,302693.07/250117-120808,0.1,0.0
2025-01-17,12:11:23,302693.07/250117-121049,0.2,0.0
2025-01-17,12:18:32,302693.07/250117-121808,0.0,0.0
2025-01-17,12:24:59,302693.07/250117-122436,0.3,0.0
2025-01-17,14:15:43,302693.07/250117-141519,0.0,0.0
2025-01-17,14:24:02,302693.07/250117-142346,0.1,0.0
2025-01-17,14:28:10,302693.07/250117-142739,0.2,0.0
